scenario,ambient_t,ambient_rh,cabin_t,cabin_rh,cabin_v,solar1,solar2,car_speed,psgr1,psgr2,psgr3,pre_clo,time,passengers,precond
0,263.15,0.6,295.15,0.5,0,0,0,50,FALSE,FALSE,FALSE,0.7,15,1,30
1,273.15,1,295.15,0.5,0,0,0,100,FALSE,FALSE,FALSE,0.55,15,1,30
2,311.15,0.14,295.15,0.5,0,76.24315767,14.36684233,100,TRUE,FALSE,FALSE,0.15,15,2,30
3,292.15,0.64,295.15,0.5,0,161.9963508,51.25364921,80,TRUE,TRUE,FALSE,0.3,120,3,30
4,276.15,1,295.15,0.5,0,0,6.89,30,FALSE,FALSE,FALSE,0.5,15,1,30
5,302.15,0.47,295.15,0.5,0,99.58821597,75.29178403,50,FALSE,FALSE,FALSE,0.45,12,1,30
6,293.15,0.46,295.15,0.5,0,137.2999244,119.0600756,50,FALSE,FALSE,FALSE,0.4,15,1,30
7,299.15,0.51,295.15,0.5,0,0,0,100,TRUE,TRUE,TRUE,0.4,120,4,30
8,270.15,1,295.15,0.5,0,10.85615733,12.57384267,100,TRUE,FALSE,FALSE,0.6,105,2,30
9,295.15,1,295.15,0.5,0,30.68911302,114.390887,80,TRUE,TRUE,TRUE,0.12,15,4,30
10,296.15,0.83,295.15,0.5,0,112.244717,28.82528304,80,TRUE,TRUE,FALSE,0.35,8,3,30
11,305.15,0.49,295.15,0.5,0,108.0223491,18.45765087,30,FALSE,FALSE,FALSE,0.1,15,1,30
12,280.15,0.87,295.15,0.5,0,0,0.92,30,FALSE,FALSE,FALSE,0.2,76,1,30
13,293.15,0.73,295.15,0.5,0,82.38937498,16.66062502,30,FALSE,FALSE,FALSE,0.5,15,1,30
14,296.15,0.73,295.15,0.5,0,20.993595,105.136405,30,FALSE,FALSE,FALSE,0.25,15,1,30
15,276.15,0.87,276.15,0.87,0,0,0,100,TRUE,FALSE,FALSE,0.4,23,2,0
16,301.15,0.74,301.15,0.74,0,0,0,100,TRUE,FALSE,FALSE,0.15,15,2,0
17,281.15,0.71,281.15,0.71,0,0,0,100,TRUE,TRUE,FALSE,0.35,58,3,0
18,276.15,1,276.15,1,0,0,0,50,FALSE,FALSE,FALSE,0.42,86,1,0
19,302.15,0.66,302.15,0.66,0,0,0,30,FALSE,FALSE,FALSE,0.1,105,1,0
20,292.15,0.64,292.15,0.64,0,0,0,30,FALSE,FALSE,FALSE,0.44,15,1,0
21,304.15,0.55,304.15,0.55,0,0,0,80,FALSE,FALSE,FALSE,0.21,62,1,0
22,278.15,0.81,278.15,0.81,0,9.443510318,22.42648968,100,TRUE,FALSE,FALSE,0.55,26,2,0
23,286.15,0.21,286.15,0.21,0,0,0,100,TRUE,TRUE,FALSE,0.5,102,3,0
24,292.15,0.68,292.15,0.68,0,0,0,80,TRUE,FALSE,FALSE,0.32,71,2,0
25,301.15,0.79,301.15,0.79,0,0,0,30,FALSE,FALSE,FALSE,0.25,109,1,0
26,279.15,0.66,279.15,0.66,0,0,0,30,FALSE,FALSE,FALSE,0.6,8,1,0
27,283.15,0.94,283.15,0.94,0,49.98741899,36.00258101,30,FALSE,FALSE,FALSE,0.4,15,1,0
28,284.15,0.62,284.15,0.62,0,0,0,50,FALSE,FALSE,FALSE,0.38,120,1,0
29,272.15,0.99,272.15,0.99,0,0,0,0,TRUE,TRUE,TRUE,0.55,10,4,0
30,263.15,0.6,263.15,0.5,0,0,0,50,FALSE,FALSE,FALSE,0.7,15,1,0
31,287.15,0.6,287.15,0.5,0,0,0,50,FALSE,FALSE,FALSE,0.7,15,1,0
32,308.15,0.6,308.15,0.5,0,0,0,50,FALSE,FALSE,FALSE,0.7,15,1,0
